DATE	2021/09/11 13:13:21
ファイル名	Ni_calibration__ANA.txt
元ファイル名	Ni_calibration_.txt
新規	1	(0:新規 1:解析 2:ファイル開く 3:パラメータ保存)
コメント	
磁場単位	2	Oe	(0=emu 1=mT 2=Oe)
磁化単位	0	emu	(0=emu 1=mT 2=Oe 3=emu/g 4=emu/cc)
ステップ数	100
低速区間	100.000	[Oe]
低速ステップ数	100
サンプルレート	10000.000	[Hz]
サンプル数	1000.000
ステップ時間	300.000	[ms/step]
形状選択	0	(0=四角 1=円 2=任意形状)
縦	0.000	[mm]
横	0.000	[mm]
半径	0.000	[mm]
面積	0.000	[mm^2]
厚さ	0.000	[μm]
重量	0.000	[mg]
0:PC 1:ローカル	1
磁場係数	0.000
0:終了後処理なし 1:終了後処理する	1
最大磁場設定値	5.069619265	[V]	10139.239	[Oe]	
測定ステップ幅	5.019619265E-2	[V]
全測定数	802.000
磁場レンジ	10000	[Oe]
測定方法	通常測定
磁化感度	1.000E-1	[emu]
時定数	100.000	[ms]
mGM係数	2.968922000	[Oe/V]
傾き補正	1	(0:補正なし 1:手動補正 2:自動補正)
補正磁場	100.000000000	[Oe]
補正量	-0.000045000	[emu]
自動補正領域	10.000000000	[％]
傾き(自動)	0.000000000
フィルタ処理	0	(0:補正なし 1:手動補正)
フィルタ選択	0	(0:メディアン 1:メディアン＋ローパス 2:移動平均 3:メディアン＋移動平均 4:標準偏差＋移動平均)
メディアン階数	0
標準偏差しきい値	0.000000000
移動平均長さ	0
フィルタ形式	0	(0ベッセル 1:チェビシェフ 2:バターワース 3:チェビシェフpbyp)
低域カットオフ周波数	0.000000000
次数	0
位相ズレ	0
磁場オフセット	0	(0:補正なし 1:平均 2:手動 3:最大最小)
磁場手動オフセット	0.000000000	[Oe]
磁場自動オフセット	0.000000000	[Oe]
磁化オフセット	0	(0:補正なし 1:平均 2:手動 3:最大最小)
磁化手動オフセット	0.000000000	[emu]
磁化自動オフセット	0.000000000	[emu]
mGM結合	0	(0:補正なし 1:自動補正)
Ms手動	0.000000000
Hc手動	0.000000000
Mr手動	0.000000000
Mr/Ms手動	0.000000000
Hk手動	0.000000000
Ms自動	0.001689244
Hc自動	32.366480488
Mr自動	0.003283649
Mr/Ms自動	1.943857099
自動Ms領域	10.000000000	[%]








磁場(GM)[V]	磁場(mGM)[V]	磁化[V]	出力強磁界[V]	出力弱磁界[V]	出力したい磁場[Oe]	磁場(GM)[Oe]	磁場(mGM)[Oe]	磁化[emu]	磁場(GM+mGM)[Oe]	磁化(GM+mGM)[emu]	0:mGM 1:GM
0.090291586	16.202189352	0.048737303	0.087138145	1.210195614	89.000000000	180.583171347	19.442627223	0.002436865	180.583171347	0.002518128	1.000000000
0.089684274	16.202189352	0.048773770	0.086306182	1.210195614	88.000000000	179.368547670	19.442627223	0.002438689	179.368547670	0.002519404	1.000000000
0.089002426	16.202189352	0.048435874	0.085474219	1.210195614	87.000000000	178.004852054	19.442627223	0.002421794	178.004852054	0.002501896	1.000000000
0.088639948	16.202189352	0.048396857	0.084642256	1.210195614	86.000000000	177.279895143	19.442627223	0.002419843	177.279895143	0.002499619	1.000000000
0.088024902	16.202189352	0.048233647	0.083810293	1.210195614	85.000000000	176.049804841	19.442627223	0.002411682	176.049804841	0.002490905	1.000000000
0.087467446	16.202189352	0.048291280	0.082978330	1.210195614	84.000000000	174.934891534	19.442627223	0.002414564	174.934891534	0.002493285	1.000000000
0.087043759	16.202189352	0.048226506	0.082146367	1.210195614	83.000000000	174.087517932	19.442627223	0.002411325	174.087517932	0.002489665	1.000000000
0.086446484	16.202189352	0.048225996	0.081314404	1.210195614	82.000000000	172.892967960	19.442627223	0.002411300	172.892967960	0.002489102	1.000000000
0.085879484	16.202189352	0.047790940	0.080482441	1.210195614	81.000000000	171.758968180	19.442627223	0.002389547	171.758968180	0.002466839	1.000000000
0.085496767	16.202189352	0.047768243	0.079650478	1.210195614	80.000000000	170.993534782	19.442627223	0.002388412	170.993534782	0.002465359	1.000000000
0.084968599	16.202189352	0.047712140	0.078818515	1.210195614	79.000000000	169.937197204	19.442627223	0.002385607	169.937197204	0.002462079	1.000000000
0.084359148	16.202189352	0.047595853	0.077986552	1.210195614	78.000000000	168.718295526	19.442627223	0.002379793	168.718295526	0.002455716	1.000000000
0.083962610	16.202189352	0.047618549	0.077154589	1.210195614	77.000000000	167.925219650	19.442627223	0.002380927	167.925219650	0.002456494	1.000000000
0.083371423	16.202189352	0.047519858	0.076322625	1.210195614	76.000000000	166.742845532	19.442627223	0.002375993	166.742845532	0.002451027	1.000000000
0.082793070	16.202189352	0.047280398	0.075490662	1.210195614	75.000000000	165.586139431	19.442627223	0.002364020	165.586139431	0.002438534	1.000000000
0.082463664	16.202189352	0.047360983	0.074658699	1.210195614	74.000000000	164.927327023	19.442627223	0.002368049	164.927327023	0.002442266	1.000000000
0.081877248	16.202189352	0.047152636	0.073826736	1.210195614	73.000000000	163.754496142	19.442627223	0.002357632	163.754496142	0.002431321	1.000000000
0.081318146	16.202189352	0.047085311	0.072994773	1.210195614	72.000000000	162.636292065	19.442627223	0.002354266	162.636292065	0.002427452	1.000000000
0.080940530	16.202189352	0.046972850	0.072162810	1.210195614	71.000000000	161.881060059	19.442627223	0.002348642	161.881060059	0.002421489	1.000000000
0.080344242	16.202189352	0.046942503	0.071330847	1.210195614	70.000000000	160.688484551	19.442627223	0.002347125	160.688484551	0.002419435	1.000000000
0.079738740	16.202189352	0.046844067	0.070498884	1.210195614	69.000000000	159.477480724	19.442627223	0.002342203	159.477480724	0.002413968	1.000000000
0.079332988	16.202189352	0.046731605	0.069666921	1.210195614	68.000000000	158.665976530	19.442627223	0.002336580	158.665976530	0.002407980	1.000000000
0.078812388	16.202189352	0.046796889	0.068834958	1.210195614	67.000000000	157.624776501	19.442627223	0.002339844	157.624776501	0.002410776	1.000000000
0.078179079	16.202189352	0.046620163	0.068002995	1.210195614	66.000000000	156.358158640	19.442627223	0.002331008	156.358158640	0.002401369	1.000000000
0.077820550	16.202189352	0.046535243	0.067171032	1.210195614	65.000000000	155.641099581	19.442627223	0.002326762	155.641099581	0.002396801	1.000000000
0.077243184	16.202189352	0.046419721	0.066339069	1.210195614	64.000000000	154.486367943	19.442627223	0.002320986	154.486367943	0.002390505	1.000000000
0.076680956	16.202189352	0.046409775	0.065507106	1.210195614	63.000000000	153.361911401	19.442627223	0.002320489	153.361911401	0.002389502	1.000000000
0.076288202	16.202189352	0.046127473	0.064675143	1.210195614	62.000000000	152.576404300	19.442627223	0.002306374	152.576404300	0.002375033	1.000000000
0.075747035	16.202189352	0.045999965	0.063843180	1.210195614	61.000000000	151.494069630	19.442627223	0.002299998	151.494069630	0.002368171	1.000000000
0.075195502	16.202189352	0.045774531	0.063011217	1.210195614	60.000000000	150.391003102	19.442627223	0.002288727	150.391003102	0.002356402	1.000000000
0.074825783	16.202189352	0.045786262	0.062179254	1.210195614	59.000000000	149.651566799	19.442627223	0.002289313	149.651566799	0.002356656	1.000000000
0.074255822	16.202189352	0.045833185	0.061347291	1.210195614	58.000000000	148.511643632	19.442627223	0.002291659	148.511643632	0.002358489	1.000000000
0.073695568	16.202189352	0.045601375	0.060515328	1.210195614	57.000000000	147.391136017	19.442627223	0.002280069	147.391136017	0.002346395	1.000000000
0.073199484	16.202189352	0.045487383	0.059683365	1.210195614	56.000000000	146.398968480	19.442627223	0.002274369	146.398968480	0.002340249	1.000000000
0.072665063	16.202189352	0.045439950	0.058851402	1.210195614	55.000000000	145.330125973	19.442627223	0.002271998	145.330125973	0.002337396	1.000000000
0.072162562	16.202189352	0.045251749	0.058019439	1.210195614	54.000000000	144.325124429	19.442627223	0.002262587	144.325124429	0.002327534	1.000000000
0.071795477	16.202189352	0.045236703	0.057187476	1.210195614	53.000000000	143.590953360	19.442627223	0.002261835	143.590953360	0.002326451	1.000000000
0.071185368	16.202189352	0.045189525	0.056355512	1.210195614	52.000000000	142.370735375	19.442627223	0.002259476	142.370735375	0.002323543	1.000000000
0.070606027	16.202189352	0.045035496	0.055523549	1.210195614	51.000000000	141.212054814	19.442627223	0.002251775	141.212054814	0.002315320	1.000000000
0.070197314	16.202189352	0.044760079	0.054691586	1.210195614	50.000000000	140.394627232	19.442627223	0.002238004	140.394627232	0.002301182	1.000000000
0.069628175	16.202189352	0.044778695	0.053859623	1.210195614	49.000000000	139.256349452	19.442627223	0.002238935	139.256349452	0.002301600	1.000000000
0.069143938	16.202189352	0.044677964	0.053027660	1.210195614	48.000000000	138.287875469	19.442627223	0.002233898	138.287875469	0.002296128	1.000000000
0.068521159	16.202189352	0.044588708	0.052195697	1.210195614	47.000000000	137.042318546	19.442627223	0.002229435	137.042318546	0.002291104	1.000000000
0.068162959	16.202189352	0.044337263	0.051363734	1.210195614	46.000000000	136.325917642	19.442627223	0.002216863	136.325917642	0.002278210	1.000000000
0.067607970	16.202189352	0.044221996	0.050531771	1.210195614	45.000000000	135.215940496	19.442627223	0.002211100	135.215940496	0.002271947	1.000000000
0.067035212	16.202189352	0.044244692	0.049699808	1.210195614	44.000000000	134.070423019	19.442627223	0.002212235	134.070423019	0.002272566	1.000000000
0.066658747	16.202189352	0.043973100	0.048867845	1.210195614	43.000000000	133.317494555	19.442627223	0.002198655	133.317494555	0.002258648	1.000000000
0.066111986	16.202189352	0.044043485	0.048035882	1.210195614	42.000000000	132.223971264	19.442627223	0.002202174	132.223971264	0.002261675	1.000000000
0.065557162	16.202189352	0.043790509	0.047203919	1.210195614	41.000000000	131.114323195	19.442627223	0.002189525	131.114323195	0.002248527	1.000000000
0.065168192	16.202189352	0.043723950	0.046371956	1.210195614	40.000000000	130.336384869	19.442627223	0.002186198	130.336384869	0.002244849	1.000000000
0.064578980	16.202189352	0.043489846	0.045539993	1.210195614	39.000000000	129.157959681	19.442627223	0.002174492	129.157959681	0.002232613	1.000000000
0.064006879	16.202189352	0.043401610	0.044708030	1.210195614	38.000000000	128.013758513	19.442627223	0.002170081	128.013758513	0.002227687	1.000000000
0.063651311	16.202189352	0.043381464	0.043876067	1.210195614	37.000000000	127.302622844	19.442627223	0.002169073	127.302622844	0.002226359	1.000000000
0.063061276	16.202189352	0.043116248	0.043044104	1.210195614	36.000000000	126.122552270	19.442627223	0.002155812	126.122552270	0.002212568	1.000000000
0.062505136	16.202189352	0.043020872	0.042212141	1.210195614	35.000000000	125.010271584	19.442627223	0.002151044	125.010271584	0.002207298	1.000000000
0.062157137	16.202189352	0.042907135	0.041380178	1.210195614	34.000000000	124.314273463	19.442627223	0.002145357	124.314273463	0.002201298	1.000000000
0.061540282	16.202189352	0.042796713	0.040548215	1.210195614	33.000000000	123.080563318	19.442627223	0.002139836	123.080563318	0.002195222	1.000000000
0.061030377	16.202189352	0.042704907	0.039716252	1.210195614	32.000000000	122.060753305	19.442627223	0.002135245	122.060753305	0.002190173	1.000000000
0.060635320	16.202189352	0.042595761	0.038884289	1.210195614	31.000000000	121.270639126	19.442627223	0.002129788	121.270639126	0.002184360	1.000000000
0.060081483	16.202189352	0.042532517	0.038052326	1.210195614	30.000000000	120.162965520	19.442627223	0.002126626	120.162965520	0.002180699	1.000000000
0.059505104	16.202189352	0.042369307	0.037220363	1.210195614	29.000000000	119.010208348	19.442627223	0.002118465	119.010208348	0.002172020	1.000000000
0.059079278	16.202189352	0.042092360	0.036388399	1.210195614	28.000000000	118.158556747	19.442627223	0.002104618	118.158556747	0.002157789	1.000000000
0.058551768	16.202189352	0.041989589	0.035556436	1.210195614	27.000000000	117.103535481	19.442627223	0.002099479	117.103535481	0.002152176	1.000000000
0.057972921	16.202189352	0.041925325	0.034724473	1.210195614	26.000000000	115.945842153	19.442627223	0.002096266	115.945842153	0.002148442	1.000000000
0.057652894	16.202189352	0.041744519	0.033892510	1.210195614	25.000000000	115.305787144	19.442627223	0.002087226	115.305787144	0.002139114	1.000000000
0.057057099	16.202189352	0.041496643	0.033060547	1.210195614	24.000000000	114.114198871	19.442627223	0.002074832	114.114198871	0.002126184	1.000000000
0.056490264	16.202189352	0.041617776	0.032228584	1.210195614	23.000000000	112.980528173	19.442627223	0.002080889	112.980528173	0.002131730	1.000000000
0.056122520	16.202189352	0.041531325	0.031396621	1.210195614	22.000000000	112.245040798	19.442627223	0.002076566	112.245040798	0.002127077	1.000000000
0.055537586	16.202189352	0.041227857	0.030564658	1.210195614	21.000000000	111.075171616	19.442627223	0.002061393	111.075171616	0.002111377	1.000000000
0.054993786	16.202189352	0.041113355	0.029732695	1.210195614	20.000000000	109.987571716	19.442627223	0.002055668	109.987571716	0.002105162	1.000000000
0.054660924	16.202189352	0.040972586	0.028900732	1.210195614	19.000000000	109.321848691	19.442627223	0.002048629	109.321848691	0.002097824	1.000000000
0.054064637	16.202189352	0.040734657	0.028068769	1.210195614	18.000000000	108.129273188	19.442627223	0.002036733	108.129273188	0.002085391	1.000000000
0.053533671	16.202189352	0.040505397	0.027236806	1.210195614	17.000000000	107.067341304	19.442627223	0.002025270	107.067341304	0.002073450	1.000000000
0.053132526	16.202189352	0.040690284	0.026404843	1.210195614	16.000000000	106.265051272	19.442627223	0.002034514	106.265051272	0.002082333	1.000000000
0.052501356	16.202189352	0.040324591	0.025572880	1.210195614	15.000000000	105.002711418	19.442627223	0.002016230	105.002711418	0.002063481	1.000000000
0.051965947	16.202189352	0.040142000	0.024740917	1.210195614	14.000000000	103.931894452	19.442627223	0.002007100	103.931894452	0.002053869	1.000000000
0.051564144	16.202189352	0.040106043	0.023908954	1.210195614	13.000000000	103.128288112	19.442627223	0.002005302	103.128288112	0.002051710	1.000000000
0.051024787	16.202189352	0.039900245	0.023076991	1.210195614	12.000000000	102.049573295	19.442627223	0.001995012	102.049573295	0.002040935	1.000000000
0.050462065	16.202189352	0.039758712	0.022245028	1.210195614	11.000000000	100.924129526	19.442627223	0.001987936	100.924129526	0.002033351	1.000000000
0.050053516	16.202189352	0.039682462	0.021413065	1.210195614	10.000000000	100.107031024	19.442627223	0.001984123	100.107031024	0.002029171	1.000000000
0.049513500	16.202189352	0.039502421	0.020581102	1.210195614	9.000000000	99.026999899	19.442627223	0.001975121	99.026999899	0.002019683	1.000000000
0.048979901	16.202189352	0.039330285	0.019749139	1.210195614	8.000000000	97.959802781	19.442627223	0.001966514	97.959802781	0.002010596	1.000000000
0.048562138	16.202189352	0.038979639	0.018917176	1.210195614	7.000000000	97.124275960	19.442627223	0.001948982	97.124275960	0.001992688	1.000000000
0.048082179	16.202189352	0.039021716	0.018085213	1.210195614	6.000000000	96.164357986	19.442627223	0.001951086	96.164357986	0.001994360	1.000000000
0.047492144	16.202189352	0.038794752	0.017253250	1.210195614	5.000000000	94.984287415	19.442627223	0.001939738	94.984287415	0.001982481	1.000000000
0.047472728	16.202189352	0.038922005	0.017253250	1.090930788	4.000000000	94.945456314	19.442627223	0.001946100	94.945456314	0.001988826	1.000000000
0.047456768	16.202189352	0.038811583	0.017253250	0.971599045	3.000000000	94.913535833	19.442627223	0.001940579	94.913535833	0.001983290	1.000000000
0.047438998	16.202189352	0.038833515	0.017253250	0.852267303	2.000000000	94.877995503	19.442627223	0.001941676	94.877995503	0.001984371	1.000000000
0.047487537	16.202189352	0.038689941	0.017253250	0.734575087	1.000000000	94.975073255	19.442627223	0.001934497	94.975073255	0.001977236	1.000000000
0.047453148	16.202189352	0.038619302	0.017253250	0.618160652	0.000000000	94.906296136	19.442627223	0.001930965	94.906296136	0.001973673	1.000000000
0.047484081	16.202189352	0.038749105	0.017253250	0.501746217	-1.000000000	94.968162635	19.442627223	0.001937455	94.968162635	0.001980191	1.000000000
0.047426493	16.202189352	0.038801638	0.017253250	0.384901138	-2.000000000	94.852985642	19.442627223	0.001940082	94.852985642	0.001982766	1.000000000
0.047444263	16.202189352	0.038789652	0.017253250	0.265068904	-3.000000000	94.888525971	19.442627223	0.001939483	94.888525971	0.001982182	1.000000000
0.047402306	16.202189352	0.038797048	0.017253250	0.145236669	-4.000000000	94.804611304	19.442627223	0.001939852	94.804611304	0.001982514	1.000000000
0.047428138	16.202189352	0.038675405	0.017253250	0.025404434	-5.000000000	94.856276413	19.442627223	0.001933770	94.856276413	0.001976456	1.000000000
0.047042789	16.202189352	0.038790162	0.016421287	0.025404434	-6.000000000	94.085577786	19.442627223	0.001939508	94.085577786	0.001981847	1.000000000
0.046518075	16.202189352	0.038612926	0.015589323	0.025404434	-7.000000000	93.036150833	19.442627223	0.001930646	93.036150833	0.001972513	1.000000000
0.045959302	16.202189352	0.038273500	0.014757360	0.025404434	-8.000000000	91.918604916	19.442627223	0.001913675	91.918604916	0.001955038	1.000000000
0.045549272	16.202189352	0.038136812	0.013925397	0.025404434	-9.000000000	91.098544721	19.442627223	0.001906841	91.098544721	0.001947835	1.000000000
0.044994448	16.202189352	0.038128397	0.013093434	0.025404434	-10.000000000	89.988896655	19.442627223	0.001906420	89.988896655	0.001946915	1.000000000
0.044451471	16.202189352	0.037730062	0.012261471	0.025404434	-11.000000000	88.902942142	19.442627223	0.001886503	88.902942142	0.001926509	1.000000000
0.043895002	16.202189352	0.037571442	0.011429508	0.025404434	-12.000000000	87.790003305	19.442627223	0.001878572	87.790003305	0.001918078	1.000000000
0.043492047	16.202189352	0.037349579	0.010597545	0.025404434	-13.000000000	86.984093426	19.442627223	0.001867479	86.984093426	0.001906622	1.000000000
0.042889013	16.202189352	0.037057076	0.009765582	0.025404434	-14.000000000	85.778025763	19.442627223	0.001852854	85.778025763	0.001891454	1.000000000
0.042338467	16.202189352	0.036905596	0.008933619	0.025404434	-15.000000000	84.676933702	19.442627223	0.001845280	84.676933702	0.001883384	1.000000000
0.042027818	16.202189352	0.036856123	0.008101656	0.025404434	-16.000000000	84.055636090	19.442627223	0.001842806	84.055636090	0.001880631	1.000000000
0.041462957	16.202189352	0.036640890	0.007269693	0.025404434	-17.000000000	82.925914320	19.442627223	0.001832045	82.925914320	0.001869361	1.000000000
0.040918170	16.202189352	0.036522308	0.006437730	0.025404434	-18.000000000	81.836339960	19.442627223	0.001826115	81.836339960	0.001862942	1.000000000
0.040497938	16.202189352	0.036318805	0.005605767	0.025404434	-19.000000000	80.995876983	19.442627223	0.001815940	80.995876983	0.001852388	1.000000000
0.040006626	16.202189352	0.036223685	0.004773804	0.025404434	-20.000000000	80.013252688	19.442627223	0.001811184	80.013252688	0.001847190	1.000000000
0.039473686	16.202189352	0.035944187	0.003941841	0.025404434	-21.000000000	78.947371881	19.442627223	0.001797209	78.947371881	0.001832736	1.000000000
0.039056581	16.202189352	0.035600936	0.003109878	0.025404434	-22.000000000	78.113161369	19.442627223	0.001780047	78.113161369	0.001815198	1.000000000
0.038461609	16.202189352	0.035325009	0.002277915	0.025404434	-23.000000000	76.923218486	19.442627223	0.001766250	76.923218486	0.001800866	1.000000000
0.037898723	16.202189352	0.035234989	0.001445952	0.025404434	-24.000000000	75.797445642	19.442627223	0.001761749	75.797445642	0.001795858	1.000000000
0.037565697	16.202189352	0.035060558	0.000613989	0.025404434	-25.000000000	75.131393542	19.442627223	0.001753028	75.131393542	0.001786837	1.000000000
0.036999191	16.202189352	0.034737963	-0.000217713	0.025404434	-26.000000000	73.998381001	19.442627223	0.001736898	73.998381001	0.001770197	1.000000000
0.036428406	16.202189352	0.034551547	-0.001048680	0.025404434	-27.000000000	72.856812456	19.442627223	0.001727577	72.856812456	0.001760363	1.000000000
0.036035817	16.202189352	0.034257514	-0.001879647	0.025404434	-28.000000000	72.071634436	19.442627223	0.001712876	72.071634436	0.001745308	1.000000000
0.035528051	16.202189352	0.034199625	-0.002710613	0.025404434	-29.000000000	71.056102429	19.442627223	0.001709981	71.056102429	0.001741957	1.000000000
0.034981454	16.202189352	0.033887741	-0.003541580	0.025404434	-30.000000000	69.962908221	19.442627223	0.001694387	69.962908221	0.001725870	1.000000000
0.034560235	16.202189352	0.033570247	-0.004372547	0.025404434	-31.000000000	69.120470782	19.442627223	0.001678512	69.120470782	0.001709617	1.000000000
0.034029928	16.202189352	0.033445289	-0.005203514	0.025404434	-32.000000000	68.059855210	19.442627223	0.001672264	68.059855210	0.001702891	1.000000000
0.033420312	16.202189352	0.033221640	-0.006034480	0.025404434	-33.000000000	66.840624463	19.442627223	0.001661082	66.840624463	0.001691160	1.000000000
0.033060137	16.202189352	0.033023238	-0.006865447	0.025404434	-34.000000000	66.120274638	19.442627223	0.001651162	66.120274638	0.001680916	1.000000000
0.032439827	16.202189352	0.032713394	-0.007696414	0.025404434	-35.000000000	64.879653878	19.442627223	0.001635670	64.879653878	0.001664866	1.000000000
0.031916594	16.202189352	0.032269412	-0.008527380	0.025404434	-36.000000000	63.833188622	19.442627223	0.001613471	63.833188622	0.001642196	1.000000000
0.031528612	16.202189352	0.032173781	-0.009358347	0.025404434	-37.000000000	63.057224763	19.442627223	0.001608689	63.057224763	0.001637065	1.000000000
0.030957664	16.202189352	0.031679816	-0.010189314	0.025404434	-38.000000000	61.915327141	19.442627223	0.001583991	61.915327141	0.001611853	1.000000000
0.030363844	16.202189352	0.031362066	-0.011020280	0.025404434	-39.000000000	60.727687799	19.442627223	0.001568103	60.727687799	0.001595431	1.000000000
0.029939170	16.202189352	0.031255470	-0.011851247	0.025404434	-40.000000000	59.878339741	19.442627223	0.001562773	59.878339741	0.001589719	1.000000000
0.029412482	16.202189352	0.030936445	-0.012682214	0.025404434	-41.000000000	58.824963866	19.442627223	0.001546822	58.824963866	0.001573293	1.000000000
0.028830838	16.202189352	0.030466961	-0.013513181	0.025404434	-42.000000000	57.661676231	19.442627223	0.001523348	57.661676231	0.001549296	1.000000000
0.028433477	16.202189352	0.030347104	-0.014344147	0.025404434	-43.000000000	56.866954976	19.442627223	0.001517355	56.866954976	0.001542945	1.000000000
0.027911726	16.202189352	0.029985747	-0.015175114	0.025404434	-44.000000000	55.823451415	19.442627223	0.001499287	55.823451415	0.001524408	1.000000000
0.027346865	16.202189352	0.029413237	-0.016006081	0.025404434	-45.000000000	54.693729647	19.442627223	0.001470662	54.693729647	0.001495274	1.000000000
0.026962996	16.202189352	0.029106963	-0.016837047	0.025404434	-46.000000000	53.925992717	19.442627223	0.001455348	53.925992717	0.001479615	1.000000000
0.026391389	16.202189352	0.028817520	-0.017668014	0.025404434	-47.000000000	52.782778787	19.442627223	0.001440876	52.782778787	0.001464628	1.000000000
0.025815669	16.202189352	0.028109596	-0.018498981	0.025404434	-48.000000000	51.631337929	19.442627223	0.001405480	51.631337929	0.001428714	1.000000000
0.025437724	16.202189352	0.027729113	-0.019329948	0.025404434	-49.000000000	50.875447775	19.442627223	0.001386456	50.875447775	0.001409350	1.000000000
0.024900176	16.202189352	0.026739652	-0.020160914	0.025404434	-50.000000000	49.800352811	19.442627223	0.001336983	49.800352811	0.001359393	1.000000000
0.024410839	16.202189352	0.025539549	-0.020991881	0.025404434	-51.000000000	48.821677443	19.442627223	0.001276977	48.821677443	0.001298947	1.000000000
0.024007555	16.202189352	0.025047879	-0.021822848	0.025404434	-52.000000000	48.015109412	19.442627223	0.001252394	48.015109412	0.001274001	1.000000000
0.023510484	16.202189352	0.023098794	-0.022653814	0.025404434	-53.000000000	47.020967420	19.442627223	0.001154940	47.020967420	0.001176099	1.000000000
0.022897413	16.202189352	0.018605673	-0.023484781	0.025404434	-54.000000000	45.794826056	19.442627223	0.000930284	45.794826056	0.000950891	1.000000000
0.022535922	16.202189352	0.016588754	-0.024315748	0.025404434	-55.000000000	45.071843615	19.442627223	0.000829438	45.071843615	0.000849720	1.000000000
0.021958556	16.202189352	0.002237493	-0.025146715	0.025404434	-56.000000000	43.917111986	19.442627223	0.000111875	43.917111986	0.000131637	1.000000000
0.021408504	16.202189352	-0.001565300	-0.025977681	0.025404434	-57.000000000	42.817007161	19.442627223	-0.000078265	42.817007161	-0.000058997	1.000000000
0.021030888	16.202189352	-0.038986043	-0.026808648	0.025404434	-58.000000000	42.061775161	19.442627223	-0.001949302	42.061775161	-0.001930374	1.000000000
0.020445788	16.202189352	-0.047826670	-0.027639615	0.025404434	-59.000000000	40.891576909	19.442627223	-0.002391334	40.891576909	-0.002372932	1.000000000
0.019874017	16.202189352	-0.055802795	-0.028470581	0.025404434	-60.000000000	39.748033903	19.442627223	-0.002790140	39.748033903	-0.002772253	1.000000000
0.019505451	16.202189352	-0.059877945	-0.029301548	0.025404434	-61.000000000	39.010901146	19.442627223	-0.002993897	39.010901146	-0.002976342	1.000000000
0.018901430	16.202189352	-0.063973242	-0.030132515	0.025404434	-62.000000000	37.802859024	19.442627223	-0.003198662	37.802859024	-0.003181651	1.000000000
0.018371780	16.202189352	-0.073430752	-0.030963481	0.025404434	-63.000000000	36.743559762	19.442627223	-0.003671538	36.743559762	-0.003655003	1.000000000
0.017973926	16.202189352	-0.075673870	-0.031794448	0.025404434	-64.000000000	35.947851277	19.442627223	-0.003783693	35.947851277	-0.003767517	1.000000000
0.017443782	16.202189352	-0.077575777	-0.032625415	0.025404434	-65.000000000	34.887564784	19.442627223	-0.003878789	34.887564784	-0.003863089	1.000000000
0.016883858	16.202189352	-0.079227513	-0.033456382	0.025404434	-66.000000000	33.767715332	19.442627223	-0.003961376	33.767715332	-0.003946180	1.000000000
0.016506735	16.202189352	-0.080068045	-0.034287348	0.025404434	-67.000000000	33.013470564	19.442627223	-0.004003402	33.013470564	-0.003988546	1.000000000
0.015892677	16.202189352	-0.081543310	-0.035118315	0.025404434	-68.000000000	31.785354738	19.442627223	-0.004077166	31.785354738	-0.004062862	1.000000000
0.015385734	16.202189352	-0.083931532	-0.035949282	0.025404434	-69.000000000	30.771468120	19.442627223	-0.004196577	30.771468120	-0.004182729	1.000000000
0.015031483	16.202189352	-0.085382061	-0.036780248	0.025404434	-70.000000000	30.062965073	19.442627223	-0.004269103	30.062965073	-0.004255575	1.000000000
0.014427791	16.202189352	-0.086179240	-0.037611215	0.025404434	-71.000000000	28.855581106	19.442627223	-0.004308962	28.855581106	-0.004295977	1.000000000
0.013790204	16.202189352	-0.087463754	-0.038442182	0.025404434	-72.000000000	27.580407252	19.442627223	-0.004373188	27.580407252	-0.004360776	1.000000000
0.013489427	16.202189352	-0.088169127	-0.039273149	0.025404434	-73.000000000	26.978854270	19.442627223	-0.004408456	26.978854270	-0.004396316	1.000000000
0.012885077	16.202189352	-0.089180009	-0.040104115	0.025404434	-74.000000000	25.770153995	19.442627223	-0.004459000	25.770153995	-0.004447404	1.000000000
0.012403144	16.202189352	-0.089771900	-0.040935082	0.025404434	-75.000000000	24.806287100	19.442627223	-0.004488595	24.806287100	-0.004477432	1.000000000
0.011983241	16.202189352	-0.090402299	-0.041766049	0.025404434	-76.000000000	23.966482281	19.442627223	-0.004520115	23.966482281	-0.004509330	1.000000000
0.011440922	16.202189352	-0.091318060	-0.042597015	0.025404434	-77.000000000	22.881844082	19.442627223	-0.004565903	22.881844082	-0.004555606	1.000000000
0.010886921	16.202189352	-0.091931118	-0.043427982	0.025404434	-78.000000000	21.773841407	19.442627223	-0.004596556	21.773841407	-0.004586758	1.000000000
0.010465208	16.202189352	-0.092501843	-0.044258949	0.025404434	-79.000000000	20.930416740	19.442627223	-0.004625092	20.930416740	-0.004615673	1.000000000
0.009894589	16.202189352	-0.093612691	-0.045089915	0.025404434	-80.000000000	19.789177275	19.442627223	-0.004680635	19.789177275	-0.004671729	1.000000000
0.009354902	16.202189352	-0.094214018	-0.045920882	0.025404434	-81.000000000	18.709804311	19.442627223	-0.004710701	18.709804311	-0.004702281	1.000000000
0.009000157	16.202189352	-0.094632499	-0.046751849	0.025404434	-82.000000000	18.000314033	19.442627223	-0.004731625	18.000314033	-0.004723525	1.000000000
0.008402553	16.202189352	-0.095151456	-0.047582816	0.025404434	-83.000000000	16.805105920	19.442627223	-0.004757573	16.805105920	-0.004750010	1.000000000
